Year,country,gdppc,unempf,unempm,unemp,export,import,polity,polity2
1993,"Congo, Dem. Rep.",414.97,0,0,0,2714790019,3438478108,-77,0
1994,"Congo, Dem. Rep.",384.54,0,0,0,2511108211,2569175691,-77,0
1995,"Congo, Dem. Rep.",375.24,0,0,0,3023374190,3509493796,-77,0
1996,"Congo, Dem. Rep.",361.84,0,0,0,3488973711,3316471993,-77,0
1997,"Congo, Dem. Rep.",334.11,0,0,0,2717484405,2557368343,-77,0
1998,"Congo, Dem. Rep.",322.24,0,0,0,3373826069,4267193647,-77,0
1999,"Congo, Dem. Rep.",302.24,0,0,0,5043467140,6802451902,-77,0
2000,"Congo, Dem. Rep.",275,0,0,0,4860585644,7706496852,-77,0
2001,"Congo, Dem. Rep.",262.41,0,0,0,3166560975,3850846926,-77,0
2002,"Congo, Dem. Rep.",264.11,0,0,0,2170296200,2894232780,-77,0
2003,"Congo, Dem. Rep.",271.43,0,0,0,2336783739,3026379253,-88,1
2004,"Congo, Dem. Rep.",281.1,0,0,0,2392172923,3163896337,-88,3
2005,"Congo, Dem. Rep.",294.39,0,0,0,2417484615,3246893867,-88,4
2006,"Congo, Dem. Rep.",302.08,0,0,0,2189028793,3289294304,5,5
2007,"Congo, Dem. Rep.",312.02,0,0,0,2621565411,5829540296,5,5
2008,"Congo, Dem. Rep.",322.04,0,0,0,3241837106,6579820703,5,5
2009,"Congo, Dem. Rep.",322.04,0,0,0,3199606913,5731358052,5,5
2010,"Congo, Dem. Rep.",335.68,0,0,0,4715561722,8120712733,5,5
2011,"Congo, Dem. Rep.",349.01,0,0,0,5704301632,8557203265,5,5
2012,"Congo, Dem. Rep.",363.87,0,0,0,6197765456,8026540484,5,5
1980,"Congo, Rep.",2955.19,0,0,0,1917287965,802541599,-8,-8
1981,"Congo, Rep.",3375.26,0,0,0,2094741545,1185533086,-8,-8
1982,"Congo, Rep.",4050.36,0,0,0,2286190435,1724684810,-8,-8
1983,"Congo, Rep.",4163.01,0,0,0,2680840799,1355696121,-8,-8
1984,"Congo, Rep.",4325.67,0,0,0,2943361526,1312872315,-8,-8
1985,"Congo, Rep.",4153.94,0,0,0,2752121261,1316978707,-8,-8
1986,"Congo, Rep.",3761.83,0,0,0,2656501129,1029531239,-8,-8
1987,"Congo, Rep.",3666.19,0,0,0,2666932416,785494204.3,-8,-8
1988,"Congo, Rep.",3630.58,0,0,0,3014641988,791947106.6,-8,-8
1989,"Congo, Rep.",3625.92,0,0,0,3245868946,773761644,-8,-8
1990,"Congo, Rep.",3565.69,0,0,0,3473079773,812449726.2,-8,-8
1991,"Congo, Rep.",3556,0,0,0,3264992367,1277114886,-88,-1
1992,"Congo, Rep.",3554.75,0,0,0,3288190946,739756238,5,5
1993,"Congo, Rep.",3429,0,0,0,3549771589,1384829825,5,5
1994,"Congo, Rep.",3155.71,0,0,0,3456114714,2416674496,5,5
1995,"Congo, Rep.",3193.65,0,0,0,3988916138,2069451547,5,5
1996,"Congo, Rep.",3239.07,0,0,0,4154671242,2153643306,5,5
1997,"Congo, Rep.",3128.52,0,0,0,4649836348,2258554830,-6,-6
1998,"Congo, Rep.",3154.46,0,0,0,5066889650,2249693542,-6,-6
1999,"Congo, Rep.",2989.14,0,0,0,5178466966,2384079353,-6,-6
2000,"Congo, Rep.",3131.5,0,0,0,5115771387,2490395020,-6,-6
2001,"Congo, Rep.",3170.03,0,0,0,4825305546,2647083657,-5,-5
2002,"Congo, Rep.",3236.45,0,0,0,4886947899,2771307938,-4,-4
2003,"Congo, Rep.",3185.45,0,0,0,4764497814,2884260630,-4,-4
2004,"Congo, Rep.",3214.53,0,0,0,4660598535,2821662125,-4,-4
2005,"Congo, Rep.",3371.94,0,0,0,5122710254,3317744807,-4,-4
2006,"Congo, Rep.",3480.26,0,0,0,5399146242,4093106222,-4,-4
2007,"Congo, Rep.",3322.95,0,0,0,4597314567,4385149010,-4,-4
2008,"Congo, Rep.",3401.68,0,0,0,4908143031,4698154592,-4,-4
2009,"Congo, Rep.",3547.15,0,0,0,5456322047,4765940412,-4,-4
2010,"Congo, Rep.",3748.22,0,0,0,6448338212,5836762899,-4,-4
2011,"Congo, Rep.",3772.18,0,0,0,7618152991,6418826717,-4,-4
2012,"Congo, Rep.",3814.68,0,0,0,7415575918,6386021458,-4,-4
1980,Costa Rica,6363.93,0.078,0.053,0.059,1442156567,2301532069,10,10
1981,Costa Rica,6048.96,0.104,0.082,0.087,1602515165,1695352306,10,10
1982,Costa Rica,5453.51,0.114,0.086,0.094,1515054653,1388250465,10,10
1983,Costa Rica,5455.09,0.097,0.088,0.09,1495181152,1607724338,10,10
1984,Costa Rica,5634.87,0.058,0.052,0.054,1645919529,1799296651,10,10
1985,Costa Rica,5539.42,0.079,0.065,0.069,1582919632,1924853552,10,10
1986,Costa Rica,5703.05,0.07,0.06,0.063,1608813826,2287314200,10,10
1987,Costa Rica,5933.97,0.079,0.047,0.056,1934529149,2716974876,10,10
1988,Costa Rica,6000.07,0.08,0.043,0.054,2161944332,2807071114,10,10
1989,Costa Rica,6142.6,0.052,0.032,0.037,2521927004,3261546352,10,10
1990,Costa Rica,6222.09,0.059,0.041,0.047,2772420898,3581576514,10,10
1991,Costa Rica,6225.54,0.074,0.047,0.056,2926148248,3642490408,10,10
1992,Costa Rica,6632.25,0.054,0.035,0.041,3423246748,4495811902,10,10
1993,Costa Rica,6954.59,0.053,0.036,0.041,3698082128,5156130175,10,10
1994,Costa Rica,7109.09,0.058,0.035,0.042,3840084459,5423738649,10,10
1995,Costa Rica,7208.09,0.066,0.046,0.052,4265355799,5581681030,10,10
1996,Costa Rica,7091.74,0.083,0.053,0.062,4528239603,5733016684,10,10
1997,Costa Rica,7300.22,0.075,0.049,0.057,4919441842,6577306797,10,10
1998,Costa Rica,7717.98,0.081,0.044,0.056,6254055356,8237846486,10,10
1999,Costa Rica,8154.4,0.083,0.05,0.06,7585050461,8266883218,10,10
2000,Costa Rica,8115.65,0.069,0.044,0.052,7559875413,8051061527,10,10
2001,Costa Rica,8031.53,0.076,0.052,0.061,6834072038,8152509893,10,10
2002,Costa Rica,8102.4,0.079,0.056,0.064,7083142058,8713532241,10,10
2003,Costa Rica,8461.54,0.082,0.058,0.067,7937903445,8787929660,10,10
2004,Costa Rica,8665.75,0.085,0.054,0.065,8584847500,9584216183,10,10
2005,Costa Rica,9019.11,0.096,0.05,0.066,9682984138,10775922718,10,10
2006,Costa Rica,9649.32,0.087,0.044,0.06,10678247044,11647912669,10,10
2007,Costa Rica,10249.97,0.068,0.033,0.046,11735960827,12145859017,10,10
2008,Costa Rica,10368.54,0.062,0.042,0.049,11499507913,12939905255,10,10
2009,Costa Rica,10109.97,0.099,0.066,0.078,10807102230,10497107362,10,10
2010,Costa Rica,10455.74,0.095,0.06,0.073,11338065725,11965175276,10,10
2011,Costa Rica,10762.7,0.103,0.06,0.077,12097410549,13235807261,10,10
2012,Costa Rica,11155.51,0,0,0,13085052681,14545091645,10,10
1995,Croatia,9925.11,0,0,0,9948561646,10905122866,-5,-5
1996,Croatia,10922.08,0.105,0.095,0.1,11372469969,11908637873,-5,-5
1997,Croatia,11438.26,0.104,0.095,0.099,11848695254,14877037084,-5,-5
1998,Croatia,11848.36,0.115,0.106,0.11,12530764657,14033930197,-5,-5
1999,Croatia,11588.34,0.145,0.128,0.135,12637963314,13638167799,-88,1
2000,Croatia,12370.66,0.173,0.15,0.161,14147598770,14126044367,8,8
2001,Croatia,12782.49,0.213,0.197,0.205,15386993395,15638375425,8,8
2002,Croatia,13406.06,0.173,0.132,0.151,15553974104,17767766813,8,8
2003,Croatia,14126.11,0.156,0.125,0.139,17352426850,19927286672,8,8
2004,Croatia,14712.61,0.153,0.123,0.137,18291533721,20898073513,8,8
2005,Croatia,15331.92,0.138,0.116,0.126,18981530325,21770246705,9,9
2006,Croatia,16095.83,0.127,0.098,0.111,20115021813,23579719366,9,9
2007,Croatia,16925.52,0.111,0.083,0.096,20852743676,25029549621,9,9
2008,Croatia,17286.1,0.1,0.07,0.084,21205935401,26036407062,9,9
2009,Croatia,16103.35,0.103,0.08,0.091,17777273421,20469766109,9,9
2010,Croatia,15917.33,0.122,0.114,0.118,18693389743,20185891728,9,9
2011,Croatia,16425.36,0.132,0.137,0.134,19076324962,20435631335,9,9
2012,Croatia,16148.16,0,0,0,19152630262,20456066967,9,9
1980,Cyprus,11257.08,0,0,0,1751039553,2269766371,10,10
1981,Cyprus,11350.38,0,0,0,1997618260,2326554505,10,10
1982,Cyprus,11892.3,0,0,0,2155634421,2624251897,10,10
1983,Cyprus,12453.03,0,0,0,2331656957,2768867929,10,10
1984,Cyprus,13369.29,0,0,0,2683702500,3222115850,10,10
1985,Cyprus,13852.63,0,0,0,2654671507,3075736095,10,10
1986,Cyprus,14201.91,0,0,0,2609839014,2738886444,10,10
1987,Cyprus,15040.85,0,0,0,2967396631,3128291564,10,10
1988,Cyprus,16169.03,0,0,0,3369051547,3542387452,10,10
1989,Cyprus,17207.01,0,0,0,3931662694,4253827672,10,10
1990,Cyprus,18091.44,0,0,0,4194410614,4497206098,10,10
1991,Cyprus,17759.51,0,0,0,3839425236,4586091598,10,10
1992,Cyprus,18918.82,0.022,0.02,0.021,4601945200,5431566640,10,10
1993,Cyprus,18596.71,0,0,0,4471489880,4432657854,10,10
1994,Cyprus,19290.77,0,0,0,4837866769,4747638513,10,10
1995,Cyprus,20099.77,0,0,0,5652405561,5539402158,10,10
1996,Cyprus,20147.69,0,0,0,5850300689,5990156535,10,10
1997,Cyprus,20330.62,0,0,0,6056343354,6046223358,10,10
1998,Cyprus,21095.7,0,0,0,6152936672,6191836908,10,10
1999,Cyprus,21872.05,0.079,0.043,0.057,6679826104,6386331575,10,10
2000,Cyprus,22731.93,0.074,0.032,0.05,7390669835,7216051909,10,10
2001,Cyprus,23393.5,0.057,0.027,0.04,7843102422,7596880951,10,10
2002,Cyprus,23587.05,0.041,0.026,0.033,7459457729,7584826662,10,10
2003,Cyprus,23630.27,0.046,0.038,0.041,7425686189,7564736180,10,10
2004,Cyprus,24061.98,0.054,0.035,0.043,7832295530,8341568153,10,10
2005,Cyprus,24408.11,0.065,0.044,0.053,8213238499,8649622211,10,10
2006,Cyprus,24929.65,0.054,0.038,0.045,8503673742,9232246191,10,10
2007,Cyprus,25826.63,0.046,0.034,0.039,9021053733,10459104962,10,10
2008,Cyprus,26456.34,0.043,0.032,0.036,8989983917,11304244574,10,10
2009,Cyprus,25789.88,0.055,0.051,0.053,7968732551,9119739491,10,10
2010,Cyprus,25198.04,0.064,0.06,0.062,8017363568,9403684971,10,10
2011,Cyprus,24686.07,0.077,0.078,0.077,,,10,10
2012,Cyprus,23475.44,0,0,0,,,10,10
1993,Czech Republic,14401.19,0.054,0.034,0.043,26973163606,24702170284,10,10
1994,Czech Republic,14814.81,0.052,0.036,0.043,27995575960,28396285476,10,10
1995,Czech Republic,15746.16,0.048,0.034,0.04,33264440735,34977420701,10,10
1996,Czech Republic,16480.15,0.047,0.033,0.039,35426878130,39200876461,10,10
1997,Czech Republic,16357.27,0.059,0.039,0.048,38846035058,41774624374,10,10
1998,Czech Republic,16334.14,0.082,0.05,0.065,43360308848,44720033389,10,10
1999,Czech Republic,16625.41,0.105,0.073,0.087,45823163606,46931010017,10,10
2000,Czech Republic,17340.75,0.106,0.073,0.088,53734891486,54444407346,10,10
2001,Czech Republic,17940.43,0.099,0.068,0.081,59966193656,61237562604,10,10
2002,Czech Republic,18382.84,0.09,0.059,0.073,61428505843,64126419032,10,10
2003,Czech Republic,19070.48,0.099,0.061,0.078,66087479132,68882846411,10,10
2004,Czech Republic,19958,0.099,0.07,0.083,75066694491,75787479132,10,10
2005,Czech Republic,21264.41,0.098,0.065,0.079,83798539232,80245409015,10,10
2006,Czech Republic,22683.45,0.088,0.058,0.071,95393614357,88875000000,8,8
2007,Czech Republic,23833.46,0.067,0.042,0.053,1.06E+11,1.00E+11,8,8
2008,Czech Republic,24359.49,0.056,0.035,0.044,1.10E+11,1.03E+11,8,8
2009,Czech Republic,23122.19,0.077,0.058,0.067,98256427379,90538772955,8,8
2010,Czech Republic,23625.02,0.085,0.064,0.073,1.13E+11,1.04E+11,8,8
2011,Czech Republic,24125.19,0.079,0.058,0.067,1.24E+11,1.12E+11,8,8
2012,Czech Republic,23763.4,0,0,0,1.29E+11,1.14E+11,8,8
1980,Denmark,20789.88,0,0,0,37222486549,32884843413,10,10
1981,Denmark,20611.35,0,0,0,40403828922,33033478514,10,10
1982,Denmark,21392.57,0,0,0,41690171562,34059296102,10,10
1983,Denmark,21974.95,0.104,0.092,0.097,43624742878,34661234630,10,10
1984,Denmark,22902.33,0.102,0.078,0.089,45170518950,36730860706,10,10
1985,Denmark,23814.36,0.095,0.064,0.078,47882325852,40444720546,10,10
1986,Denmark,24959.59,0.078,0.046,0.06,48485659412,44291746675,10,10
1987,Denmark,25000.28,0.071,0.052,0.061,50854985794,44085439810,10,10
1988,Denmark,24952.48,0.073,0.058,0.065,55318766884,46047120486,10,10
1989,Denmark,25080.38,0.089,0.075,0.081,57940606106,48343902694,10,10
1990,Denmark,25442.17,0.089,0.078,0.083,61849852674,49475479872,10,10
1991,Denmark,25706.23,0.1,0.083,0.091,65862919403,51256397044,10,10
1992,Denmark,26127.51,0.099,0.083,0.09,66189254133,51295750645,10,10
1993,Denmark,26017.27,0.111,0.104,0.107,66836254004,50732127045,10,10
1994,Denmark,27362.27,0.09,0.072,0.08,72454147219,57231807714,10,10
1995,Denmark,28054.43,0.086,0.056,0.07,74555229276,61250544030,10,10
1996,Denmark,28686.84,0.084,0.055,0.068,77705351589,63305268880,10,10
1997,Denmark,29481.61,0.064,0.045,0.054,81549164486,69340376961,10,10
1998,Denmark,30009.36,0.064,0.038,0.05,84867706869,75261259549,10,10
1999,Denmark,30676.07,0.059,0.045,0.051,94711276307,77890780419,10,10
2000,Denmark,31652.55,0.05,0.04,0.045,1.07E+11,88059850823,10,10
2001,Denmark,31761.64,0.048,0.036,0.042,1.10E+11,89729043791,10,10
2002,Denmark,31807.81,0.05,0.043,0.046,1.15E+11,96459343228,10,10
2003,Denmark,31843.17,0.061,0.048,0.054,1.14E+11,94875027306,10,10
2004,Denmark,32490.37,0.06,0.051,0.055,1.17E+11,1.02E+11,10,10
2005,Denmark,33193.24,0.053,0.044,0.048,1.26E+11,1.14E+11,10,10
2006,Denmark,34207.45,0.045,0.033,0.039,1.38E+11,1.29E+11,10,10
2007,Denmark,34595.28,0.042,0.034,0.038,1.41E+11,1.34E+11,10,10
2008,Denmark,34123.03,0.037,0.032,0.034,1.46E+11,1.39E+11,10,10
2009,Denmark,32017.73,0.053,0.066,0.06,1.32E+11,1.22E+11,10,10
2010,Denmark,32378.58,0.065,0.084,0.075,1.36E+11,1.26E+11,10,10
2011,Denmark,32601.66,0.075,0.077,0.076,1.45E+11,1.33E+11,10,10
2012,Denmark,32333.09,0,0,0,1.46E+11,1.36E+11,10,10
1990,Djibouti,2607.47,0,0,0,394478279.3,574702038.5,-8,-8
1991,Djibouti,2403.59,0.467,0.419,0.435,377604177.2,547498211.4,-8,-8
1992,Djibouti,2339.07,0,0,0,312493094.1,538727105.5,-7,-7
1993,Djibouti,2141.58,0,0,0,287987227.5,420407866.9,-7,-7
1994,Djibouti,2086.1,0,0,0,271949857.7,363408894.6,-7,-7
1995,Djibouti,1979.35,0,0,0,245035879.1,320607939.4,-7,-7
1996,Djibouti,1864.5,0,0,0,231189690.8,302419493,-6,-6
1997,Djibouti,1818.3,0,0,0,231295421.7,299840935.5,-6,-6
1998,Djibouti,1788.83,0,0,0,241189462.5,318754003,-6,-6
1999,Djibouti,1797.68,0,0,0,227374264.3,294641892.8,2,2
2000,Djibouti,1777.11,0,0,0,214494237.5,308265681.7,2,2
2001,Djibouti,1786.7,0,0,0,232867712.8,285792400.2,2,2
2002,Djibouti,1807.12,0.686,0.546,0.595,247139559.1,280319004,2,2
2003,Djibouti,1838.65,0,0,0,263914310.6,324468939.5,2,2
2004,Djibouti,1882.35,0,0,0,253886092.3,371990387.7,2,2
2005,Djibouti,1914.98,0,0,0,287866937.5,361105328,2,2
2006,Djibouti,1978.97,0,0,0,296026010.5,425480361.7,2,2
2007,Djibouti,2050.87,0,0,0,,,2,2
2008,Djibouti,2139.26,0,0,0,,,2,2
2009,Djibouti,2214.06,0,0,0,,,2,2
2010,Djibouti,2258.11,0,0,0,,,2,2
2011,Djibouti,2324.58,0,0,0,,,2,2
2012,Djibouti,2399.3,0,0,0,,,2,2
1980,Dominican Republic,3745.38,0,0,0,4406780844,4802042546,6,6
1981,Dominican Republic,3816.36,0,0,0,4775304640,4103033394,6,6
1982,Dominican Republic,3793.19,0,0,0,4173397815,3353761680,6,6
1983,Dominican Republic,3879.7,0,0,0,4436706250,3485548692,6,6
1984,Dominican Republic,3841.38,0,0,0,4662021211,3289577171,6,6
1985,Dominican Republic,3677.95,0,0,0,4663602533,3426236905,6,6
1986,Dominican Republic,3725.97,0,0,0,4345509492,4109801903,6,6
1987,Dominican Republic,4016.56,0,0,0,4912987469,4850412156,6,6
1988,Dominican Republic,4018.11,0,0,0,4424057074,4939361514,6,6
1989,Dominican Republic,4109.19,0,0,0,4349538590,5718289448,6,6
1990,Dominican Republic,3806.71,0,0,0,4310181908,4895929238,6,6
1991,Dominican Republic,3766.1,0.333,0.128,0.199,4594653914,5023223399,6,6
1992,Dominican Republic,4080.33,0.352,0.12,0.207,5060567230,6093267765,6,6
1993,Dominican Republic,4290.95,0.348,0.114,0.199,5512673507,6539108557,6,6
1994,Dominican Republic,4307.88,0.271,0.102,0.162,5889082324,7130739893,5,5
1995,Dominican Republic,4462.74,0.262,0.102,0.158,6382266396,7492928823,5,5
1996,Dominican Republic,4698.19,0.284,0.106,0.167,6835959369,7772543441,8,8
1997,Dominican Republic,4989.48,0.281,0.092,0.156,7720992388,9219834074,8,8
1998,Dominican Republic,5252.73,0.238,0.093,0.144,8224448229,11151700563,8,8
1999,Dominican Republic,5516.5,0.249,0.078,0.138,8666078601,11271525947,8,8
2000,Dominican Republic,5737.36,0.233,0.087,0.142,9423220215,12228248035,8,8
2001,Dominican Republic,5750.96,0.261,0.094,0.157,8847184633,11656712050,8,8
2002,Dominican Republic,5991.26,0.266,0.094,0.161,9022389270,11835037025,8,8
2003,Dominican Republic,5886.45,0.266,0.106,0.167,9981802141,10305899899,8,8
2004,Dominican Republic,5875.55,0.306,0.104,0.184,10339940758,10848030127,8,8
2005,Dominican Republic,6326.36,0.288,0.111,0.18,10211594686,12072835164,8,8
2006,Dominican Republic,6901.07,0.272,0.093,0.164,10278375100,13063840337,8,8
2007,Dominican Republic,7380.22,0.255,0.094,0.157,10609029545,13955039859,8,8
2008,Dominican Republic,7660.4,0.229,0.085,0.142,10182431029,14613091718,8,8
2009,Dominican Republic,7817.5,0.232,0.098,0.149,9426449281,13174601073,8,8
2010,Dominican Republic,8312,0.164,0.093,0.124,10518244556,15074679855,8,8
2011,Dominican Republic,8572.68,0,0,0,11447732898,15505453860,8,8
2012,Dominican Republic,8794.14,0,0,0,15077891246,17406846671,8,8
1980,Ecuador,6203.08,0,0,0,3232701115,6179028536,9,9
1981,Ecuador,6386.71,0,0,0,3259954197,5986121225,9,9
1982,Ecuador,6266.75,0,0,0,3100295932,6153988435,9,9
1983,Ecuador,6092.26,0,0,0,3047704422,4780345692,9,9
1984,Ecuador,6099.19,0,0,0,3131235796,4608495416,8,8
1985,Ecuador,6184.08,0,0,0,3365375511,5000916793,8,8
1986,Ecuador,6241.68,0,0,0,3756336576,4975694553,8,8
1987,Ecuador,6073.43,0.104,0.052,0.072,3375527925,5869704258,8,8
1988,Ecuador,6275.34,0.103,0.051,0.07,4638634355,4860509910,9,9
1989,Ecuador,6187.18,0.111,0.059,0.079,4700478640,5082351541,9,9
1990,Ecuador,6264.86,0.091,0.043,0.061,4730070932,5003306810,9,9
1991,Ecuador,6384.22,0.085,0.041,0.058,5518809349,5593119669,9,9
1992,Ecuador,6373.09,0.132,0.06,0.089,5823241503,5844019118,9,9
1993,Ecuador,6356.01,0.115,0.062,0.083,6184453424,5811837395,9,9
1994,Ecuador,6483.59,0.093,0.058,0.071,6981733503,6740364644,9,9
1995,Ecuador,6488.83,0.088,0.055,0.069,7704959705,7497319711,9,9
1996,Ecuador,6463.34,0.141,0.08,0.104,7541414822,6552884184,9,9
1997,Ecuador,6604.69,0.126,0.069,0.092,8068254443,7897069291,8,8
1998,Ecuador,6682.71,0.159,0.084,0,7686092187,8412887554,9,9
1999,Ecuador,6239.3,0.196,0.108,0.14,8272605047,5754795045,9,9
2000,Ecuador,6183.57,0.131,0.062,0.09,8482412300,6492659289,6,6
2001,Ecuador,6307.18,0.162,0.067,0.107,8347783284,8162726434,6,6
2002,Ecuador,6440.02,0.139,0.058,0.091,8399855220,9714867968,6,6
2003,Ecuador,6490.95,0.15,0.09,0.114,9005499532,9320475048,6,6
2004,Ecuador,6894.51,0.114,0.065,0.086,10552498010,10334253965,6,6
2005,Ecuador,7128.62,0.108,0.056,0.077,11463499000,11821905000,6,6
2006,Ecuador,7311.78,0.11,0.053,0.077,12280387875,12977320459,7,7
2007,Ecuador,7343.67,0.076,0.05,0.061,12282501610,13892865202,5,5
2008,Ecuador,7679.19,0.096,0.056,0.073,12649005033,15898885333,5,5
2009,Ecuador,7594.98,0.084,0.052,0.065,12043326786,14321828974,5,5
2010,Ecuador,7684.01,0.064,0.041,0.05,12343110684,16715642377,5,5
2011,Ecuador,8121.76,0,0,0.042,12975668733,17396042242,5,5
2012,Ecuador,8392.57,0,0,0,13349960475,17562647806,5,5
1980,Egypt,2404.78,0.192,0.039,0.052,6230543681,17147303845,-6,-6
1981,Egypt,2440.06,0.188,0.041,0.054,6138970766,18065236271,-6,-6
1982,Egypt,2622.12,0.205,0.041,0.057,5499756667,15685528288,-6,-6
1983,Egypt,2752.89,0.106,0.057,0.066,6090490745,15848996385,-6,-6
1984,Egypt,2854.17,0.114,0.048,0.06,6463066795,18193075796,-6,-6
1985,Egypt,2972.73,0,0,0,6727909726,18734822342,-6,-6
1986,Egypt,2980.46,0,0,0,6758433833,16360355824,-6,-6
1987,Egypt,2984.24,0,0,0,7187569416,13815085836,-6,-6
1988,Egypt,3070.6,0,0,0,7990997552,14238959003,-6,-6
1989,Egypt,3153.46,0.107,0.054,0.069,9322830675,14474313487,-6,-6
1990,Egypt,3266.44,0.179,0.052,0.086,9988747531,15003862080,-6,-6
1991,Egypt,3241.21,0.213,0.059,0.096,10321705664,15180378278,-6,-6
1992,Egypt,3327.85,0.17,0.064,0.09,11653538653,14427826605,-6,-6
1993,Egypt,3370.28,0.223,0.075,0.109,11801051801,16239693202,-6,-6
1994,Egypt,3450.43,0.228,0.074,0.11,11860057060,16441011713,-6,-6
1995,Egypt,3555.33,0.241,0.076,0.113,13217178017,17179179585,-6,-6
1996,Egypt,3675.3,0.204,0.069,0.09,13444348264,16843648734,-6,-6
1997,Egypt,3817.48,0.198,0.052,0.084,13305685905,17749582032,-6,-6
1998,Egypt,3910.19,0.199,0.051,0.082,12827637310,19170621077,-6,-6
1999,Egypt,4084.34,0.194,0.051,0.081,13996200543,19733674284,-6,-6
2000,Egypt,4235.99,0.227,0.051,0.09,14527365649,19063372848,-6,-6
2001,Egypt,4316.07,0.222,0.058,0.094,15005414244,18848876388,-6,-6
2002,Egypt,4347.31,0.239,0.063,0.102,15870922757,19890785845,-6,-6
2003,Egypt,4413.16,0.242,0.065,0.104,18066324176,20145499051,-6,-6
2004,Egypt,4518.34,0.244,0.068,0.107,22640077132,23618860956,-6,-6
2005,Egypt,4642.37,0.251,0.071,0.112,27213830088,29245707243,-3,-3
2006,Egypt,4877.65,0.24,0.068,0.106,32999627578,35613537403,-3,-3
2007,Egypt,5136.2,0.187,0.059,0.089,40683532544,45871532897,-3,-3
2008,Egypt,5411.73,0.192,0.059,0.087,52384788242,57931820266,-3,-3
2009,Egypt,5570.64,0.23,0.052,0.094,44782583537,47569168656,-3,-3
2010,Egypt,5759.76,0.226,0.049,0.09,43446329028,46066053661,-3,-3
2011,Egypt,5764.07,0,0,0,44591430497,49328563460,-2,-2
2012,Egypt,5794.56,0,0,0,45762876519,52455677890,-88,
1980,El Salvador,4367.73,0.175,0.108,0.132,1685937144,1918511870,-88,-2
1981,El Salvador,3850.19,0,0,0,1356849020,1675527962,-88,0
1982,El Salvador,3554.71,0,0,0,1147784770,1305010713,-88,2
1983,El Salvador,3559.32,0,0,0,1385301501,1483413531,-88,4
1984,El Salvador,3558.69,0,0,0,1313070754,1500704557,6,6
1985,El Salvador,3533.61,0.243,0.124,0.169,1245046748,1487977734,6,6
1986,El Salvador,3494.81,0.085,0.075,0.079,1083321704,1440157458,6,6
1987,El Salvador,3537.54,0,0,0,1215424744,1443130832,6,6
1988,El Salvador,3558.2,0.071,0.11,0.094,1104058876,1438964385,6,6
1989,El Salvador,3544.88,0.068,0.1,0.084,954063911.2,1525400704,6,6
1990,El Salvador,3664.11,0.098,0.101,0.1,1181910231,2157878355,6,6
1991,El Salvador,3738.4,0.066,0.083,0.075,1176201869,2278825300,7,7
1992,El Salvador,3957.84,0.072,0.084,0.079,1252767237,2669052495,7,7
1993,El Salvador,4184.09,0.069,0.118,0.099,1630217396,3237575108,7,7
1994,El Salvador,4374.39,0.064,0.084,0.077,1767829070,3724620465,7,7
1995,El Salvador,4597.24,0.059,0.087,0.076,2013725052,4511457428,7,7
1996,El Salvador,4628.38,0.065,0.084,0.077,2188310153,4238502937,7,7
1997,El Salvador,4784.96,0.053,0.095,0.08,2848674102,4950170029,7,7
1998,El Salvador,4930.86,0.06,0.082,0.073,3026697338,5406099506,7,7
1999,El Salvador,5071.85,0.046,0.085,0.07,3242541609,5552404189,7,7
2000,El Salvador,5154.97,0.037,0.091,0.07,3787105373,6359979784,7,7
2001,El Salvador,5219.86,0.052,0.081,0.07,3779358122,6628815276,7,7
2002,El Salvador,5321.56,0.035,0.081,0.062,4005747855,6726286529,7,7
2003,El Salvador,5424.94,0.035,0.092,0.069,4192947214,7052453130,7,7
2004,El Salvador,5506.21,0.038,0.087,0.068,4431357736,7343642465,7,7
2005,El Salvador,5681.51,0.048,0.089,0.072,4382800000,7548900000,7,7
2006,El Salvador,5880.37,0.039,0.085,0.066,4640713219,8221816532,7,7
2007,El Salvador,6079.98,0.037,0.082,0.063,4969472971,8945687598,7,7
2008,El Salvador,6128.6,0.036,0.075,0.059,5310571164,9240043600,7,7
2009,El Salvador,5906.15,0.049,0.09,0.073,4462535517,6946081939,8,8
2010,El Salvador,5953.33,0.051,0.084,0.07,4980750041,7738612083,8,8
2011,El Salvador,6033.63,0,0,0,5442977230,8463202847,8,8
2012,El Salvador,6092.78,0,0,0,5546195587,8538051317,8,8
1985,Equatorial Guinea,2237.6,0,0,0,,,-7,-7
1986,Equatorial Guinea,2082.37,0,0,0,,,-7,-7
1987,Equatorial Guinea,2093.83,0,0,0,,,-7,-7
1988,Equatorial Guinea,2083.23,0,0,0,,,-7,-7
1989,Equatorial Guinea,1997.55,0,0,0,,,-7,-7
1990,Equatorial Guinea,1999.26,0,0,0,,,-7,-7
1991,Equatorial Guinea,1912.26,0,0,0,,,-7,-7
1992,Equatorial Guinea,2046.82,0,0,0,,,-7,-7
1993,Equatorial Guinea,2103.27,0,0,0,,,-5,-5
1994,Equatorial Guinea,2137.86,0,0,0,,,-5,-5
1995,Equatorial Guinea,2363.57,0,0,0,,,-5,-5
1996,Equatorial Guinea,2954.98,0,0,0,,,-5,-5
1997,Equatorial Guinea,4898.65,0,0,0,,,-5,-5
1998,Equatorial Guinea,5784.75,0,0,0,,,-5,-5
1999,Equatorial Guinea,7927.7,0,0,0,,,-5,-5
